st_053060_0010#0,"""Дьявольский Замок,<br>вызванный Лутцем,<br>возвышался над окрестностями.<br>Как если бы он защищал столицу.<br>Тем не менее, вскоре он пал<br>под силой Стража"""
st_053060_0020#0,"""Лутц упорно отказывался сдаться<br>и скрылся внутри замка"""
st_053060_0030#0,"""Гариетта преследовала Лутца,<br>чтобы положить конец этой битве"""
st_053060_0040#0,"""В столице Квент<br>битва за судьбу нации<br>подходит к концу."""
st_053060_0050#0,"""НЕТ... НЕТ! НЕТ! НЕТ!<br>Этого не произойдет!"""
st_053060_0060#0,"""Сила Дьявольских Замков,<br>Эфемера... Поражение...<br>от рук человека!"""
st_053060_0070#0,"""Лутц! Некуда бежать!"""
st_053060_0080#0,"""Нет, еще есть время...!<br>Если я всех вас убью сейчас,<br>я получу безраздельную власть!"""
st_053060_0090#0,"""Такая разрушительная сила...!<br>Это тоже сила Эфемеры?"""
st_053060_0100#0,"""Эта сила используется<br>как катализатор.<br>Понимаешь, почему другие нации<br>согласились изучать ее?"""
st_053060_0110#0,"""Не время геройствовать!"""
st_053060_0120#0,"""Если бы только Эфемера могла..."""
st_053060_0125#0,"""ААААА!!"""
st_053060_0130#0,"""Ухх, моя Эфемера...!<br>ГАРИЕТТА!!!"""
st_053060_0140#0,"""АААХ!"""
st_053060_0150#0,"""Могу я попросить вас<br>воздержаться от насилия<br>в отношении моей сестры?"""
st_053060_0160#0,"""Я делаю все это ради нации...<br>Почему ты вмешиваешься?<br>ГАРИЕТТА! ЛЮТЕР!"""
st_053060_0170#0,"""Нации? Не смеши.<br>Какая часть твоего плана<br>продиктована заботой о народе?"""
st_053060_0180#0,"""Наш народ не желает войны.<br>Страж, Легендарный Спаситель,<br>на нашей стороне!"""
st_053060_0190#0,"""Дядя..."""
st_053060_0200#0,"""Алиса! Используй свою силу!<br>Уничтожь этих наглых дураков<br>и настанет мир...!"""
st_053060_0210#0,"""Отказываюсь.<br>Ни моя сила, ни мой меч,<br>не будут использованы здесь."""
st_053060_0220#0,"""Алиса! Даже ты,<br>Дева Меча, предашь меня!?<br>Ты забыла, кто дал тебе все это!?"""
st_053060_0230#0,"""Пожалуйста, сдайся, дядя.<br>Правда не на твоей стороне."""
st_053060_0240#0,"""Ты еще можешь все исправить.<br>Присоединись к нам и используй<br>свои силы на благо людей..."""
st_053060_0250#0,"""Людей? Присоединиться?<br>Достаточно, Дева Меча..."""
st_053060_0260#0,"""Дядя...?"""
st_053060_0270#0,"""Наши знания и сила<br>существуют для особой цели...<br>Единственной цели..."""
st_053060_0280#0,"""На этой земле, в этом мире...<br>Мы существуем лишь для служения!..<br>Эфемера существует для этого"""
st_053060_0290#0,"""Он пытается свести с ума Ману?<br>Как далеко ты собираешься зайти<br>с этими заблуждениями?"""
st_053060_0300#0,"""Вы все уйдете со мной!<br>Этот мир должен быть разрушен!<br>Я уничтожу все!"""
st_053060_0310#0,"""Все выходы перекрыты!<br>Если мы ничего не сделаем,<br>окажемся среди завалов!"""
st_053060_0320#0,"""Легендарный Меч!..<br>Дай мне свою силу!"""
st_053060_0330#0,"""Мимолетные Крылья, вперед!"""
st_053060_0335#0,"""Выход!"""
st_053060_0340#0,"""Что?.. Мы снаружи?"""
st_053060_0350#0,"""Мы телепортировались?<br>Такая магия существует?.."""
st_053060_0360#0,"""Это оно... Древнее заклинание,<br>которым владеет Дева Меча."""
st_053060_0370#0,"""Я не была уверена,<br>что оно сработает.<br>Но меч ответил на мой зов."""
st_053060_0380#0,"""<%me>, что-нибудь удалось увидеть?"""
st_053060_0390#0,"""Ничего не удалось обнаружить.<br>Даже у АРКС нет технологии,<br>позволяющей телепортироваться<br>без предварительной подготовки."""
st_053060_0400#0,"""Может, это что-то вроде того,<br>что использует Альма...<br>То, что она называет магией."""
st_053060_0410#0,"""Что... Замок, он..."""
st_053060_0420#0,"""Сведенный с ума Силой, ты пал.<br>Трон, которого ты так желал,<br>стал твоей могилой.<br>Надеюсь, ты доволен... Лутц."""
st_053060_0430#0,"""Что ты нашел, Варуна?<br>Присутствие Лутца??"""
st_053060_0440#0,"""Мы не уверены...<br>Но он точно попал под обвал."""
st_053060_0450#0,"""Ясно..."""
st_053060_0460#0,"""Леди Алиса..."""
st_053060_0470#0,"""Я в порядке...<br>Я была готова посмотреть<br>правде в глаза.<br>Было ясно,<br>что мой дядя не был прежним<br>в последние минуты жизни."""
st_053060_0480#0,"""Я думаю... Он сошел с ума?"""
st_053060_0490#0,"""Что...?"""
st_053060_0500#0,"""Похоже, он находился<br>под влиянием чего-то большего."""
st_053060_0510#0,"""Брат... Что ты имеешь в виду<br>под \""чем-то большим\""?"""
st_053060_0520#0,"""Я пока не уверен...<br>Однако я знаю,<br>что без сьерьезной причины,<br>Спаситель не появился бы."""
st_053060_0530#0,"""Это проблемы<br>не только этой страны.<br>Это начало катаклизма,<br>что повлияет на весь мир.<br>Правда, Страж?"""
skit01#0,"""Узники Эфемеры"""
skit02#0,"""Заблуждения о Бессемянном цветке"""
